season,round,circuit_id,warm,cold,dry,wet,cloudy,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualy_time,driver_age,q_delta
2020,1,red_bull_ring,True,False,False,False,False,bottas,Finnish,mercedes,1,1,25,1,1,37,1,1,62.939,30,0.0
2020,1,red_bull_ring,True,False,False,False,False,max_verstappen,Dutch,red_bull,2,20,0,0,20,0,0,9,63.477,22,0.5379999999999967
2020,1,red_bull_ring,True,False,False,False,False,norris,British,mclaren,3,3,16,0,3,26,0,2,63.626,20,0.6869999999999976
2020,1,red_bull_ring,True,False,False,False,False,albon,Thai,red_bull,4,13,0,0,13,0,0,9,63.868,24,0.929000000000002
2020,1,red_bull_ring,True,False,False,False,False,hamilton,British,mercedes,5,4,12,0,4,37,1,1,62.951,35,0.012000000000000455
2020,1,red_bull_ring,True,False,False,False,False,perez,Mexican,racing_point,6,6,8,0,6,8,0,4,63.868,30,0.929000000000002
2020,1,red_bull_ring,True,False,False,False,False,leclerc,Monegasque,ferrari,7,2,18,0,2,19,0,3,63.923,22,0.9840000000000018
2020,1,red_bull_ring,True,False,False,False,False,sainz,Spanish,mclaren,8,5,10,0,5,26,0,2,63.971000000000004,25,1.0320000000000036
2020,1,red_bull_ring,True,False,False,False,False,stroll,Canadian,racing_point,9,18,0,0,18,8,0,4,64.029,21,1.0899999999999963
2020,1,red_bull_ring,True,False,False,False,False,ricciardo,Australian,renault,10,19,0,0,19,4,0,6,64.239,31,1.3000000000000043
2020,1,red_bull_ring,True,False,False,False,False,vettel,German,ferrari,11,10,1,0,10,19,0,3,64.206,33,1.267000000000003
2020,1,red_bull_ring,True,False,False,False,False,gasly,French,alphatauri,12,7,6,0,7,6,0,5,64.305,24,1.3660000000000068
2020,1,red_bull_ring,True,False,False,False,False,kvyat,Russian,alphatauri,13,12,0,0,12,6,0,5,64.431,26,1.4919999999999973
2020,1,red_bull_ring,True,False,False,False,False,ocon,French,renault,14,8,4,0,8,4,0,6,64.643,23,1.7040000000000006
2020,1,red_bull_ring,True,False,False,False,False,grosjean,French,haas,15,16,0,0,16,0,0,10,64.691,34,1.7520000000000024
2020,1,red_bull_ring,True,False,False,False,False,kevin_magnussen,Danish,haas,16,17,0,0,17,0,0,10,65.164,27,2.2250000000000014
2020,1,red_bull_ring,True,False,False,False,False,russell,British,williams,17,15,0,0,15,0,0,8,65.167,22,2.2280000000000015
2020,1,red_bull_ring,True,False,False,False,False,giovinazzi,Italian,alfa,18,9,2,0,9,2,0,7,65.175,26,2.235999999999997
2020,1,red_bull_ring,True,False,False,False,False,raikkonen,Finnish,alfa,19,14,0,0,14,2,0,7,65.224,40,2.2850000000000037
2020,1,red_bull_ring,True,False,False,False,False,latifi,Canadian,williams,20,11,0,0,11,0,0,8,65.757,25,2.818000000000005
2020,2,red_bull_ring,True,False,False,False,False,hamilton,British,mercedes,1,1,37,1,2,80,2,1,79.273,35,0.0
2020,2,red_bull_ring,True,False,False,False,False,max_verstappen,Dutch,red_bull,2,3,15,0,6,27,0,3,80.489,22,1.2160000000000082
2020,2,red_bull_ring,True,False,False,False,False,sainz,Spanish,mclaren,3,9,13,0,7,39,0,2,80.67099999999999,25,1.3979999999999961
2020,2,red_bull_ring,True,False,False,False,False,bottas,Finnish,mercedes,4,2,43,1,1,80,2,1,80.701,30,1.4279999999999973
2020,2,red_bull_ring,True,False,False,False,False,ocon,French,renault,5,18,4,0,11,8,0,6,80.922,23,1.649000000000001
2020,2,red_bull_ring,True,False,False,False,False,albon,Thai,red_bull,6,4,12,0,8,27,0,3,81.011,24,1.7379999999999995
2020,2,red_bull_ring,True,False,False,False,False,gasly,French,alphatauri,7,15,6,0,9,7,0,7,81.02799999999999,24,1.7549999999999955
2020,2,red_bull_ring,True,False,False,False,False,ricciardo,Australian,renault,8,8,4,0,12,8,0,6,81.19200000000001,31,1.9190000000000111
2020,2,red_bull_ring,True,False,False,False,False,norris,British,mclaren,9,5,26,0,3,39,0,2,80.925,20,1.652000000000001
2020,2,red_bull_ring,True,False,False,False,False,vettel,German,ferrari,10,20,1,0,15,19,0,5,81.651,33,2.378
2020,2,red_bull_ring,True,False,False,False,False,russell,British,williams,11,16,0,0,20,0,0,9,79.636,22,0.36299999999999955
2020,2,red_bull_ring,True,False,False,False,False,stroll,Canadian,racing_point,12,7,6,0,10,22,0,4,79.645,21,0.3719999999999999
2020,2,red_bull_ring,True,False,False,False,False,kvyat,Russian,alphatauri,13,10,1,0,14,7,0,7,79.717,26,0.4440000000000026
2020,2,red_bull_ring,True,False,False,False,False,leclerc,Monegasque,ferrari,14,19,18,0,4,19,0,5,79.628,22,0.355000000000004
2020,2,red_bull_ring,True,False,False,False,False,kevin_magnussen,Danish,haas,15,12,0,0,18,0,0,10,80.211,27,0.9380000000000024
2020,2,red_bull_ring,True,False,False,False,False,raikkonen,Finnish,alfa,16,11,0,0,17,2,0,8,81.372,40,2.0990000000000038
2020,2,red_bull_ring,True,False,False,False,False,perez,Mexican,racing_point,17,6,16,0,5,22,0,4,81.607,30,2.334000000000003
2020,2,red_bull_ring,True,False,False,False,False,latifi,Canadian,williams,18,17,0,0,16,0,0,9,81.759,25,2.486000000000004
2020,2,red_bull_ring,True,False,False,False,False,giovinazzi,Italian,alfa,19,14,2,0,13,2,0,8,81.831,26,2.558000000000007
2020,3,hungaroring,False,False,False,True,True,hamilton,British,mercedes,1,1,63,2,1,121,3,1,73.447,35,0.0
2020,3,hungaroring,False,False,False,True,True,bottas,Finnish,mercedes,2,3,58,1,2,121,3,1,73.554,30,0.10699999999999932
2020,3,hungaroring,False,False,False,True,True,stroll,Canadian,racing_point,3,4,18,0,8,40,0,4,74.377,21,0.9299999999999926
2020,3,hungaroring,False,False,False,True,True,perez,Mexican,racing_point,4,7,22,0,6,40,0,4,74.545,30,1.097999999999999
2020,3,hungaroring,False,False,False,True,True,vettel,German,ferrari,5,6,9,0,10,27,0,5,74.774,33,1.3269999999999982
